titulo;url;materiais;receita;origem
Free Flamingo Crochet Pattern;https://www.mariskavos.nl/free-flamingo-crochet-pattern;These are the materials that I used. However, feel free to replace them with other materials of your choice. Furthermore, if you wish to crochet a larger or smaller version of this toy plushie using this free flamingo amigurumi pattern, you can simply use a thicker or thinner yarn and crochet hook.;"This free flamingo crochet pattern is perfect for beginners and includes a full step-by-step video tutorial so you can easily make your own cute flamingo amigurumi. The pattern is written in U.S. crochet terms and can be made with any yarn type, making it great for both new and experienced crocheters.
I love designing mini amigurumi animals, and this little flamingo is quick to make—perfect as a handmade gift or fun weekend project. On my blog, you’ll also find many more mini crochet patterns with matching video tutorials.
The small flamingo was made using sport-weight cotton yarn, while the larger plush flamingo was made with super bulky chenille yarn. Both sizes use the exact same pattern, so feel free to choose any yarn you like to create your own adorable crochet flamingo!
Table of contents
I also have made a full video on YouTube on how to crochet every step of vicky the Flamingo Amigurumi:
PDF Pattern without ads:
If you prefer a pdf download or want to support me, you can buy the pdf pattern in my etsy shop, thank you so much for your support! (Keep scrolling for the free pattern)
If you’re new to crocheting, don’t worry! Check out my beginner-friendly basic stitches tutorial, complete with numerous instructional videos. It covers everything you need to know to make your very own adorable Amigurumi.
Cotton Sport Weight version 7 cm / 3 inch:
– Yarn and Colors Must Have Pink cotton color: 035 – 15 gram
– Yarn and Colors Must Have Yellow cotton color: 014 – 5 gram
– Yarn and Colors Must Have Black cotton color: 100 – 2 gram
– Yarn and Colors Must Have white cotton color: 001 – 2 gram
– Synthetic Poly Filling
– Crochet hook size B/1 (2.5 mm)
– Safety eyes 1 pair: 7 mm

Chenille Super Bulky version 16 cm / 6 inch:
– Pink, Yellow, Black and White Chenille yarn
– Synthetic Poly Filling
– Crochet hook size H/8 (5.0 mm)
– Safety eyes 1 pair: 15 mm

Search for a similar chenille yarn you can buy near you on YARNSUB
Supplies:
– Scissors
– Tapestry needles with blunt point, nr. 16 or 17
– Pins
TIP: Are you using are using Blanket yarn? Then I recommend a L/11 (8 mm) crochet hook.
Abbreviations used in this cute crochet pattern:
(All abbreviations are explained in my basic stitches tutorial)
Rnd: Round
st: stitch
sc: single crochet
sl st: slip stitch
dec: decrease
inc: increase
TIP: Before starting this flamingo plushie crochet pattern, beginners should remember that there is a full video tutorial on how to make this flamingo: https://youtu.be/EBsSgnPkoSY
Body:
Beak:
Wings 2x:
Leg 2x:
Now your cute flamingo is finished! I hope you enjoyed making her. There are many more free plushie patterns on my blog, Big and small Amigurumi animals. Most of them with full video tutorial.";Mariskavos
Free Pear Crochet Pattern;https://www.mariskavos.nl/free-pear-crochet-pattern;These are the materials that I used. However, feel free to replace them with other materials of your choice. Furthermore, if you wish to crochet a larger or smaller version of this toy plushie using this free pear amigurumi crochet pattern, you can simply use a thicker or thinner yarn and crochet hook.;"Learn how to crochet an adorable fruit amigurumi with this free pear crochet pattern, a beginner-friendly design that is perfect if you love making crochet mini food Amigurumi. Whether you’re new to amigurumi or looking for a quick and cute project, this pear is a great choice.
For a large plush pear (6 inch/16 cm), use super bulky chenille yarn & 5 mm (H/8) crochet hook.
For a small keychain-sized pear (2 inch/6 cm), use sport-weight yarn & 2.5 mm (B/1) crochet hook.
Both versions are made with the exact same pattern below—just change your yarn and hook size to get the look you want.
To make it even easier, I’ve included a step-by-step video tutorial that shows you exactly how to crochet this pear from start to finish. The pattern uses basic stitches and is written in U.S. crochet terms, making it ideal for beginners.
Table of contents
I also have made a full video on YouTube on how to crochet every step of this small pear keychain Amigurumi.
PDF Pattern without ads:
If you prefer a pdf download or want to support me, you can buy the pdf pattern in my etsy shop, thank you so much for your support! (Keep scrolling for the free pattern)
If you’re new to crocheting, don’t worry! Check out my beginner-friendly basic stitches tutorial, complete with numerous instructional videos. It covers everything you need to know to make your very own adorable Amigurumi Pear fruit plushie.
Cotton Sport Weight version 2 inch / 6 cm:
– Yarn and Colors Must Have Green cotton color: 084
– Yarn and Colors Must Have Dark Green cotton color: 088
– Yarn and Colors Must Have Brown cotton color: 028
– Yarn and Colors Must Have Pink cotton color: 039
– Yarn and Colors Must Have Black cotton color: 100
– Synthetic Poly Filling
– Crochet hook size B/1 (2.5 mm)

Chenille Super Bulky version 6 inch / 16 cm:
– Green, Dark Green, Brown, Pink and Black Chenille yarn
– Synthetic Poly Filling
– Crochet hook size H/8 (5.0 mm)

Search for a similar chenille yarn you can buy near you on YARNSUB
Supplies:
– Scissors
– Tapestry needles with blunt point, nr. 16 or 17
– Pins
TIP: Are you using are using Blanket yarn? Then I recommend a L/11 (8 mm) crochet hook.
Abbreviations (U.S Terms) used in this cute crochet pattern:
(All abbreviations are explained in my basic stitches tutorial)
Rnd: Round
st: stitch
sc: single crochet
sl st: slip stitch
dec: decrease
inc: increase
hdc: half double crochet
dc: double crochet
ch: chain stitch
TIP: Before starting this free pear crochet pattern, beginners should remember that there is a full video tutorial on how to create this food keychain plushie Amigurumi: https://youtu.be/ZLE3I0O-Jjs
Pear
Stalk:
Leaf:";Mariskavos
Free Lemon Crochet Pattern;https://www.mariskavos.nl/free-lemon-crochet-pattern;These are the materials that I used. However, feel free to replace them with other materials of your choice. Furthermore, if you wish to crochet a larger or smaller version of this toy plushie using this free lemon amigurumi crochet pattern, you can simply use a thicker or thinner yarn and crochet hook.;"Brighten up your day with this free lemon crochet pattern, this fun Amigurumi food crochet project is quick, easy, and perfect for beginners. If you love creating cute mini Amigurumi fruits, this little lemon keychain will be a refreshing addition to your collection.
For a large plush lemon (6 inch/14 cm), use super bulky chenille yarn & 5 mm (H/8) crochet hook.
For a small keychain-sized lemon (2 inch/6 cm), use sport-weight yarn & 2.5 mm (B/1) crochet hook.
Both versions are made with the exact same pattern below, just change your yarn and hook size to get the look you want.
To make it even easier, I’ve included a step-by-step video tutorial that shows you exactly how to crochet this lemon from start to finish. The pattern uses basic stitches and is written in U.S. crochet terms, making it ideal for beginners.
Table of contents
I also have made a full video on YouTube on how to crochet every step of this mini lemon keychain Amigurumi.
PDF Pattern without ads:
If you prefer a pdf download or want to support me, you can buy the pdf pattern in my etsy shop, thank you so much for your support! (Keep scrolling for the free pattern)
If you’re new to crocheting, don’t worry! Check out my beginner-friendly basic stitches tutorial, complete with numerous instructional videos. It covers everything you need to know to make your very own adorable mini Amigurumi Lemon fruit plushie.
Cotton Sport Weight keychain version 2 inch / 6 cm:
– Yarn and Colors Must Have Yellow cotton color: 013
– Yarn and Colors Must Have Green cotton color: 123
– Yarn and Colors Must Have Black cotton color: 100
– Synthetic Poly Filling
– Crochet hook size B/1 (2.5 mm)

Chenille Super Bulky version 6 inch / 14 cm:
– Yellow, Green and Black Chenille yarn
– Synthetic Poly Filling
– Crochet hook size H/8 (5.0 mm)

Search for a similar chenille yarn you can buy near you on YARNSUB
Supplies:
– Scissors
– Tapestry needles with blunt point, nr. 16 or 17
– Pins
TIP: Are you using are using Blanket yarn? Then I recommend a L/11 (8 mm) crochet hook.
Abbreviations (U.S Terms) used in this cute crochet pattern:
(All abbreviations are explained in my basic stitches tutorial)
Rnd: Round
st: stitch
sc: single crochet
sl st: slip stitch
dec: decrease
inc: increase
hdc: half double crochet
dc: double crochet
ch: chain stitch
TIP: Before starting this free lemon crochet pattern, beginners should remember that there is a full video tutorial on how to create this food keychain plushie Amigurumi: https://youtu.be/Kp_G9CTJb4Q
Lemon
Leaf 2x:";Mariskavos
Free Axolotl Crochet Pattern;https://www.mariskavos.nl/free-axolotl-crochet-pattern;These are the materials that I used. However, feel free to replace them with other materials of your choice. Furthermore, if you wish to crochet a larger or smaller version of the elephant using this free axolotl amigurumi pattern, you can simply use a thicker or thinner yarn and crochet hook.;"This is an easy beginner friendly free axolotl crochet pattern, including a full video tutorial to make your own cute Lucy the Axolotl Amigurumi. This is an almost no sew pattern, it doesn’t require much sewing, only the tail fin needs to be sewn on.
I love creating mini Amigurumi. With just a bit of yarn, you can easily create a cute gift in a few hours. There are many more mini Amigurumi on my blog, including full video tutorials.
The small axolotl was made with Sport Weight Cotton yarn, and the bigger one with Super Bulky Chenille yarn. They are both made with the same pattern. You can use any yarn that you like to crochet this cute axolotl Amigurumi.
Basic Stitches Tutorial:
If you’re new to crocheting, don’t worry! Check out my beginner-friendly basic stitches tutorial, complete with numerous instructional videos. It covers everything you need to know to make your very own adorable Amigurumi.
Video:
I also have made a full video on YouTube on how to crochet every step of Lucy the Axolotl Amigurumi:
Cotton Sport Weight version 11 cm / 4 inch:
– Pink cotton yarn SMC Catania color: 246
– Dark pink cotton yarn SMC Catania color: 409
– Synthetic Poly Filling
– Crochet hook size 2.5 mm
– Safety eyes 1 pair: 8 mm

Chenille Super Bulky version 23 cm / 9 inch:
– Pink and dark pink Chenille yarn
– Synthetic Poly Filling
– Crochet hook size 5.0 mm
– Safety eyes 1 pair: 15 mm

Search for a similar chenille yarn you can buy near you on YARNSUB
Supplies:
– Scissors
– Tapestry needles with blunt point, nr. 16 or 17
– Pins
TIP: Are you using are using Blanket yarn? Then I recommend a 8.0 mm crochet hook.
For Bulky Velvet yarn I recommend a 3.5 mm crochet hook.
Abbreviations used in this cute axolotl crochet pattern:
(All abbreviations are explained in my basic stitches tutorial)
Rnd: Round
st: stitch
sc: single crochet
sl st: slip stitch
dec: decrease
inc: increase
Gill 6x:
Legs 4x:
Body:
Tail Fin:
Now your cute Axolotl is done, I hoped you enjoyed this free almost no sew axolotl crochet pattern!
I made many more Amigurumi patterns on my blog, most of them including full video tutorial.
This cute turtle crochet pattern is also available on this blog for free!";Mariskavos
Free Frog Crochet Pattern;https://www.mariskavos.nl/free-frog-crochet-pattern;"Materials:
These are the materials that I used for this frog You can replace them with other materials. If you wish to crochet a larger or smaller version of this mini frog Amigurumi keychain you can just use a thicker or thinner yarn/crochet hook.
Check the materials page on my website if you need help in choosing the right yarn for amigurumi patterns.";"Crochet a very cute frog Amigurumi with this free frog crochet pattern. You can crochet this mini amigurumi with any yarn that you like, make sure to use the smallest crochet hook (or smaller) recommended on the label of the yarn.

Size frog that I made with sport weight cotton yarn: 6 cm / 2 inch. Size big frog made from Super Bulky Chenille: 14 cm / 6 inch.
Check out my basic stitches tutorial if you are a beginner. The tutorial has a lot of videos included.
It will explain you everything you need to know on how to make a cute Amigurumi animals.
I also made a YouTube video on how to crochet every step of this frog Amigurumi:
Cotton Sport Weight version 6 cm / 2 inch:
– Green Yarn and Colors Must have: 83 or catania cotton color – 205
– Pink Yarn and Colors Must have: 48 – Pastel Pink or catania cotton color – 222
– Black Yarn and Colors Must have: 100 or catania cotton color – 110
– Synthetic Poly filling
– 1 pair cat safety eyes: 12 mm
Chenille Super Bulky plush version 14 cm / 6 inch:
– Green Chenille yarn
– Pink Chenille yarn
– Black Chenille yarn
– Synthetic Poly filling
– 1 pair cat safety eyes: 28 mm
Supplies:
– Scissors
– Tapestry needles with blunt point, nr. 16 or 17
– Pins
– Crochet hook size 2.5 mm 4/0 for the cotton or 5.0 mm H for Chenille yarn
Cheek 2x:
Body:
Hindleg 2x:
Feet 4x:
Now your frog is done!
I hope enjoyed this free frog crochet pattern, I have many more free amigurumi patterns available on this website.";Mariskavos
Free bunny Amigurumi crochet pattern;https://www.mariskavos.nl/free-bunny-amigurumi-crochet-pattern;"These are the materials that I used. You can replace them with other materials. If you wish to crochet a larger or smaller version of this bunny amigurumi, you just use a thicker or thinner yarn/crochet hook.

Small Mimi the bunny made from cotton yarn: 3 inch / 9 cm
Pink cotton – Yarn and Colors Must Have color: 039
Black Cotton – Yarn and Colors Must Have color: 100
Red Cotton – Yarn and Colors Must Have color: 032
Crochet hook size B/1 (2.5 mm)
Synthetic Poly filling
1 pair black safety eyes: 8 mm
Check the materials page on my website if you need help in choosing the right materials.";"Learn how to crochet a very cute bunny amigurumi with this easy and fast to make free bunny crochet pattern. This small project is very suitable for beginners that want to learn how to crochet an amigurumi.

You can make mimi the bunny from any yarn that you like. I made it in cotton and chenille yarn, the cotton one is very small, the chenille one is much larger, these two bunnies are both made with the same crochet pattern.
If you want to crochet a big plush toy within a few hours, use big chunky yarn and crochet hook and you will have made a cute gift very fast! It will take about 2-3 hours to make.
Table of contents
There is a full free video on how to create Mimi the Bunny amigurumi here:
Check out my basic stitches tutorial if you are a beginner. The tutorial has a lot of videos included.
If you’re new to crocheting, don’t worry! Check out my beginner-friendly basic stitches tutorial, complete with numerous instructional videos. It covers everything you need to know to make your very own adorable Amigurumi Bunny plush.
The big bunny amigurumi (21 cm / 8 inch) was made with plush chenille yarn (super bulky), H/8 (5.0 mm) hook and 16 mm safety eyes.

TIP Chenille/Velvet or other similar yarn: The body of the bunny might look a bit to oval when crocheting it, don’t worry about it, it will be fine when you put stuffing in it.
Supplies:
Scissors
Tapestry needles with blunt point, nr. 16
Pins
Abbreviations (U.S Terms) used in this cute crochet pattern:
(All abbreviations are explained in my basic stitches tutorial)
Rnd: Round
st: stitch
sc: single crochet
sl st: slip stitch
dec: decrease
inc: increase
hdc: half double crochet
dc: double crochet
ch: chain stitch
TIP: Before starting this free pear crochet pattern, beginners should remember that there is a full video tutorial on how to create this bunny plushie Amigurumi: https://youtu.be/Xyr-GKLBJcg
Body:
Ear 2x:
Foot 2x:
Tail:
Strap:
Bow:
Now you bunny is done! I hope you enjoyed this free bunny crochet pattern.
There are many more cute amigurumi patterns on my website to create many stuffed animals.";Mariskavos
Free Dragon Crochet Pattern;https://www.mariskavos.nl/free-dragon-crochet-pattern;These are the materials that I used. However, feel free to replace them with other materials of your choice. Furthermore, if you wish to crochet a larger or smaller version of the dragon amigurumi using this free crochet pattern, you can simply use a thicker or thinner yarn and crochet hook.;"Create a very cute dragon amigurumi with this free dragon crochet pattern. It’s an easy pattern, perfect for beginners. The Elio the Dragon pattern is also featured in the book Amigurumi Fantasy 3, alongside many more cute creatures.
The dragon in the photo was made with sport-weight cotton yarn and a 2.5 mm hook. If you use the same yarn, your dragon will be 20 cm (8 inches) tall. Use any yarn that you like to make this cute plushie dragon. Use chunky yarn to make him much huge!
A little story about Elio the Dragon:
Elio, a fearless dragon of the mountain region, bravely guards the nearby small town from the terrors of the dark forest. In recognition of his bravery and protection, the grateful townspeople reward him with plums and grapes, his beloved fruits, which he happily accepts.
PDF Pattern:
If you prefer a pdf download or want to support me, you can buy the pdf pattern in my etsy shop, thank you so much for your support! (Keep scrolling for the free pattern)
Book: You can also find the pattern of Elio the dragon in the book Amigurumi Fantasy 3, available on Amazon or other bookstores:  www.mariskavos.nl/craft-books/
Basic Stitches Tutorial:
If you are a beginner that want to learn how to crochet, check out my beginner-friendly basic stitches tutorial, it has many instructional videos on how to crochet every stitch. It shows you all you need to know to make your very own cute dragon Amigurumi with this free dragon crochet pattern.
Cotton Sport Weight version 9 inch / 20 cm:
– Purple cotton Yarn and Colors Must Have color: 053: 140 gram
– Green Yarn and Colors Must Have color: 083: 30 gram
– White Yarn and Colors Must Have color: 001: 6 gram
– Light Green Yarn and Colors Must Have color: 084: 15 gram
– Synthetic Poly Filling
– Crochet hook size B/1 (2.5 mm)
– Safety eyes 12 mm

Search for a similar cotton yarn you can buy near you on YARNSUB
Supplies:
– Scissors
– Tapestry needles with blunt point, nr. 16 or 17
– Pins
TIP: Are you using are using Blanket yarn? Then I recommend a 8.0 mm crochet hook.
For Super Bulky Chenille yarn I recommend a 5 mm crochet hook, for bulky velvet yarn a 3.5 mm crochet hook.
Abbreviations used in this free dragon crochet pattern:
(All abbreviations are explained in my basic stitches tutorial)
Rnd: Round
st: stitch
sc: single crochet
sl st: slip stitch
dec: decrease
inc: increase
Head:
Body:
Snout:
Nostrils 2x:
Ears 2x:
Belly:
Tail:
Haunch 2x:
Leg 2x:
Toenail 6x:
Arm 2x:
Nail 6x
Big Spike 7x:
Medium Spike 2x:
Small Spike 2x:
Wing 2x:
Wing long branch:
Wing short branch:
Wing web 2x:";Mariskavos
Free Squirrel Crochet Pattern;https://www.mariskavos.nl/free-squirrel-crochet-pattern;These are the materials that I used. However, feel free to replace them with other materials of your choice. Furthermore, if you wish to crochet a larger or smaller version of the squirrel using this free animal amigurumi pattern, you can simply use a thicker or thinner yarn and crochet hook.;"Crochet this adorable animal with this free squirrel crochet pattern. It’s a simple and small beginner project that you can finish in about 1-2 hours. This pattern is perfect for using any leftover yarn you have. I love making mini amigurumi as they make such cute and quick gifts.
I made the small squirrel which is 7 cm wide, from sport weight cotton yarn. However, you can also crochet the squirrel from bigger yarn. For example, plush chenille yarn will make your small Amigurumi bigger and very huggable.
Table of contents
To get started, check out my Basic Stitches Tutorial. If you’re a beginner, it’s essential to go through this comprehensive crochet animals tutorial. It includes a wide range of helpful videos that will guide you through each step. With this tutorial, you’ll learn everything you need to know about creating a cute Amigurumi.
I also have made a full video on YouTube on how to crochet every step of this squirrel Amigurumi:
Please subscribe to my YouTube channel: www.youtube.com/diyfluffies
PDF Pattern without ads:
If you prefer a pdf download or want to support me, you can buy the pdf pattern in my etsy shop, thank you so much for your support! (Keep scrolling for the free pattern)
Book: You can also find the pattern of Sasha the Squirrel in the book Mini Amigurumi Made Easy available on Amazon or other bookstores:  www.mariskavos.nl/craft-books/
Cotton Sport Weight version 7 cm / 3 inch:
– Beige catania cotton color – 404
– Reddish Brown catania cotton color – 388
– Black catania cotton color – 110
– Synthetic Poly Filling
– Crochet hook size B/1 (2.5 mm)

Chenille Super Bulky version 15 cm / 6 inch:
– Beige Chenille yarn
– Red Chenille yarn
– Black Chenille yarn
– Synthetic Poly Filling
– Crochet hook size H/8 (5.0 mm)

TIP: If you are using Blanket yarn, I recommend a L/11 (8.0 mm) crochet hook.
Supplies:
– Scissors
– Tapestry needles with blunt point, nr. 16 or 17
– Pins
(All abbreviations in U.S. Terms are explained in my basic stitches tutorial)
Rnd: Round
st: stitch
sc: single crochet
sl st: slip stitch
dec: decrease
inc: increase
Body:
Snout:
Ear 2x:
Leg 4x:
Tail:
Now your squirrel is done! I hope you enjoyed this easy cute animal crochet pattern. There are many more free amigurumi patterns on my website. Like the cute plushies below.";Mariskavos
Free Baby Chicken crochet pattern;https://www.mariskavos.nl/free-baby-chicken-crochet-pattern;"Check out my basic stitches tutorial if you are a beginner. The tutorial has a lot of videos included.

Materials:

These are the materials that I used. You can replace them with other materials. If you wish to make a larger or smaller version of this chick, you can just use a thicker or thinner yarn/crochet hook.

Small baby chicken: 6 cm / 2,5 inch
Big baby chicken: 18 cm / 7 inch
Check the materials page on my website if you need help in choosing the right materials.";"Learn how to crochet a very cute baby chicken with this easy and fast to make free crochet pattern.
This pattern is very suitable for beginners that want to learn how to crochet an amigurumi.
You can make the chicken in any yarn that you like. I made it in cotton and chenille yarn, the cotton one is very small, the chenille one is much larger, two different chickens with the same pattern.
If you want to crochet a big plush toy within a few hours, use big chunky yarn and crochet hook and you will have made a cute gift very fast! Perfect pattern for easter.
There is a full free video on how to create this chick here:
Yellow cotton – catania color: 208
Orange Cotton – catania color: 281
Brown Cotton – catania color: 157
Synthetic Poly filling
1 pair black safety eyes: 8 mm
The big baby chicken (18 cm / 8 inch) was made with chenille yarn (super bulky), 5.0 mm hook and 15 mm safety eyes.

TIP Chenille/Velvet or other similar yarn: The body of the chicken might look a bit to oval when crocheting it, don’t worry about it, it will be fine when you put stuffing in it.
Supplies:
Scissors
Tapestry needles with blunt point, nr. 16
Pins
Body:
Wing 2x:
Beak:
Feet 2x:
Now your chick is ready!
I hope you enjoy this free chicken amigurumi crochet pattern. There are many more patterns on my website.";Mariskavos
Free Turtle Crochet Pattern;https://www.mariskavos.nl/free-turtle-crochet-pattern;These are the materials that I used. However, feel free to replace them with other materials of your choice. Furthermore, if you wish to crochet a larger or smaller version of the turtle using this free amigurumi pattern, you can simply use a thicker or thinner yarn and crochet hook.;"Learn how to crochet a turtle Amigurumi using this free turtle crochet pattern. It’s a simple and small beginner project that you can finish in about 1-2 hours. This pattern is perfect for using any leftover yarn you have. I enjoy making mini amigurumi as they make such cute and quick gifts.
This is an almost no sew amigurumi pattern. The only thing you have to sew on is the head on the body
I made the small turtle, which has a great keychain size, from sport weight cotton yarn. However, you can also crochet the turtle from bigger yarn. For example, plush chenille yarn will make your mini Amigurumi bigger and very huggable.
Basic Stitches Tutorial:
To get started, check out my Basic Stitches Tutorial. If you’re a beginner, it’s essential to go through this comprehensive crochet tutorial. It includes a wide range of helpful videos that will guide you through each step. With this tutorial, you’ll learn everything you need to know about creating a cute Amigurumi.

Video:
I also have made a full video on YouTube on how to crochet every step of this turtle Amigurumi:
Cotton Sport Weight version 8 cm / 3 inch:
– Green catania cotton color – 205
– Mint catania cotton color – 385
– Dark Green catania cotton color – 412
– Synthetic Poly Filling
– Crochet hook size 2.5 mm
– 1 pair black safety eyes: 10 mm

Chenille Super Bulky version 17 cm / 7 inch:
– Green Chenille yarn
– Dark Green Chenille yarn
– Mint Chenille yarn
– Synthetic Poly Filling
– Crochet hook size 5.0 mm
– 1 pair black safety eyes: 18 mm

TIP: If you are using Blanket yarn, I recommend a 8.0 mm crochet hook.
Supplies:
– Scissors
– Tapestry needles with blunt point, nr. 16 or 17
– Pins
Abbreviations used in this pattern:
(All abbreviations are explained in my basic stitches tutorial)
Rnd: Round
st: stitch
sc: single crochet
sl st: slip stitch
dec: decrease
inc: increase
Legs 4x:
Tail:
Body:
Shell part:
Head:
Learn how to crochet many more cute Amigurumi with the DIY Fluffies Amigurumi patterns and videos. Next to this adorable turtle, I have made many more crochet patterns.";Mariskavos
